Helen	F	34821	1921
Margaret	F	28465	1921
Ruth	F	25782	1921
Virginia	F	19031	1921
Mildred	F	17882	1921
Betty	F	17637	1921
Frances	F	15995	1921
Elizabeth	F	15799	1921
John	M	58222	1921
Robert	M	52780	1921
William	M	51860	1921
James	M	49750	1921
Charles	M	29244	1921
George	M	27476	1921
Joseph	M	26179	1921
Edward	M	20815	1921
Frank	M	16706	1921
Richard	M	16377	1921
Mary	F	72173	1922
Dorothy	F	37715	1922
Helen	F	32506	1922
Margaret	F	26863	1922
Ruth	F	23629	1922
Betty	F	20893	1922
Virginia	F	19145	1922
Mildred	F	16412	1922
Elizabeth	F	15241	1922
Frances	F	15052	1922
John	M	57272	1922
Robert	M	53796	1922
William	M	51119	1922
James	M	49806	1922
Charles	M	28842	1922
George	M	27348	1922
Joseph	M	25702	1922
Edward	M	20421	1922
Richard	M	17539	1922
Frank	M	16013	1922
Mary	F	71634	1923
Dorothy	F	39042	1923
Helen	F	31493	1923
Margaret	F	26133	1923
Betty	F	25991	1923
Ruth	F	23637	1923
Virginia	F	18329	1923
Mildred	F	15989	1923
Elizabeth	F	15460	1923
Frances	F	14877	1923
John	M	57469	1923
Robert	M	56118	1923
William	M	52137	1923
James	M	50467	1923
Charles	M	28960	1923
George	M	27027	1923
Joseph	M	25558	1923
Edward	M	20600	1923
Richard	M	18884	1923
Donald	M	16436	1923
Mary	F	73533	1924
Dorothy	F	39997	1924
Helen	F	31189	1924
Betty	F	30602	1924
Margaret	F	26551	1924
Ruth	F	23600	1924
Virginia	F	18625	1924
Mildred	F	15853	1924
Doris	F	15785	1924
Frances	F	15183	1924
Robert	M	60801	1924
John	M	59056	1924
William	M	53511	1924
James	M	52942	1924
Charles	M	30461	1924
George	M	27371	1924
Joseph	M	25426	1924
Richard	M	21244	1924
Edward	M	21127	1924
Donald	M	17926	1924
Mary	F	70596	1925
Dorothy	F	38572	1925
Betty	F	32817	1925
Helen	F	29169	1925
Margaret	F	24463	1925
Ruth	F	22249	1925
Virginia	F	17489	1925
Doris	F	16075	1925
Mildred	F	14450	1925
Elizabeth	F	13934	1925
Robert	M	60894	1925
John	M	57200	1925
William	M	53302	1925
James	M	52680	1925
Charles	M	29581	1925
George	M	26568	1925
Joseph	M	24614	1925
Richard	M	23270	1925
Edward	M	20093	1925
Donald	M	19196	1925
Mary	F	67831	1926
Dorothy	F	36613	1926
Betty	F	32960	1926
Helen	F	26885	1926
Margaret	F	23073	1926
Ruth	F	20220	1926
Doris	F	16298	1926
Virginia	F	16159	1926
Mildred	F	13551	1926
