Linda	F	31462	1962
Patricia	F	26537	1962
Donna	F	25727	1962
Cynthia	F	24021	1962
Deborah	F	22896	1962
Sandra	F	22416	1962
Michael	M	85042	1962
David	M	81328	1962
John	M	78441	1962
James	M	72565	1962
Robert	M	70206	1962
Mark	M	53509	1962
William	M	44868	1962
Richard	M	39417	1962
Thomas	M	36533	1962
Jeffrey	M	33526	1962
Lisa	F	56037	1963
Mary	F	41550	1963
Susan	F	33998	1963
Karen	F	32488	1963
Linda	F	27718	1963
Donna	F	25396	1963
Patricia	F	25366	1963
Lori	F	23907	1963
Sandra	F	21614	1963
Cynthia	F	21592	1963
Michael	M	83788	1963
John	M	78642	1963
David	M	78476	1963
James	M	71334	1963
Robert	M	70018	1963
Mark	M	49362	1963
William	M	44479	1963
Richard	M	40783	1963
Thomas	M	35502	1963
Jeffrey	M	31722	1963
Lisa	F	54277	1964
Mary	F	40987	1964
Susan	F	31515	1964
Karen	F	30246	1964
Patricia	F	26091	1964
Kimberly	F	24129	1964
Donna	F	23810	1964
Linda	F	23636	1964
Cynthia	F	20325	1964
Tammy	F	20046	1964
Michael	M	82663	1964
John	M	82527	1964
David	M	75069	1964
James	M	73042	1964
Robert	M	70000	1964
Mark	M	45280	1964
William	M	44247	1964
Richard	M	40103	1964
Thomas	M	34465	1964
Jeffrey	M	30733	1964
Lisa	F	60267	1965
Mary	F	34273	1965
Karen	F	32875	1965
Kimberly	F	28832	1965
Susan	F	26331	1965
Patricia	F	23553	1965
Donna	F	19698	1965
Linda	F	19337	1965
Cynthia	F	19248	1965
Angela	F	18753	1965
Michael	M	81042	1965
John	M	71558	1965
David	M	67869	1965
James	M	67712	1965
Robert	M	63137	1965
William	M	40142	1965
Mark	M	38269	1965
Richard	M	36855	1965
Thomas	M	31631	1965
Jeffrey	M	29593	1965
Lisa	F	56914	1966
Kimberly	F	32231	1966
Mary	F	28883	1966
Michelle	F	27151	1966
Karen	F	25447	1966
Susan	F	23772	1966
Patricia	F	20116	1966
Tammy	F	18624	1966
Angela	F	18532	1966
Jennifer	F	18217	1966
Michael	M	79989	1966
David	M	66434	1966
James	M	65189	1966
John	M	65047	1966
Robert	M	59340	1966
William	M	38266	1966
Mark	M	34809	1966
Richard	M	34470	1966
Jeffrey	M	30200	1966
Thomas	M	29015	1966
Lisa	F	52435	1967
Kimberly	F	33100	1967
Michelle	F	30824	1967
Mary	F	25317	1967
Susan	F	22262	1967
Karen	F	21541	1967
Angela	F	19541	1967
Tammy	F	18653	1967
Melissa	F	18379	1967
Jennifer	F	18238	1967
Michael	M	82448	1967
David	M	66812	1967
James	M	61693	1967
John	M	61626	1967
Robert	M	56379	1967
William	M	37624	1967
Mark	M	34934	1967
Richard	M	33594	1967
Christopher	M	29429	1967
Brian	M	28664	1967
Lisa	F	49536	1968
Michelle	F	33225	1968
Kimberly	F	31908	1968
Jennifer	F	26850	1968
Melissa	F	21728	1968
Mary	F	21721	1968
Angela	F	20666	1968
Tammy	F	20054	1968
Karen	F	19555	1968
Susan	F	19508	1968
Michael	M	82017	1968
David	M	63733	1968
John	M	60930	1968
James	M	60719	1968
Robert	M	58217	1968
William	M	36964	1968
Mark	M	35424	1968
Richard	M	32989	1968
Christopher	M	31480	1968
Brian	M	29945	1968
Lisa	F	45027	1969
Michelle	F	34318	1969
Jennifer	F	33702	1969
Kimberly	F	33083	1969
Melissa	F	23022	1969
Amy	F	21467	1969
Angela	F	21052	1969
Mary	F	19851	1969
Tammy	F	19052	1969
Laura	F	17921	1969
Michael	M	85224	1969
David	M	63719	1969
James	M	59922	1969
John	M	58780	1969
Robert	M	58338	1969
William	M	37637	1969
Christopher	M	35705	1969
Mark	M	33397	1969
Brian	M	31701	1969
Richard	M	31111	1969
Jennifer	F	46159	1970
Lisa	F	38965	1970
Kimberly	F	34138	1970
Michelle	F	34050	1970
Amy	F	25211	1970
Angela	F	24928	1970
Melissa	F	23742	1970
Tammy	F	19586	1970
Mary	F	19208	1970
Tracy	F	18468	1970
Michael	M	85315	1970
James	M	61774	1970
David	M	61760	1970
John	M	58535	1970
Robert	M	57205	1970
Christopher	M	41790	1970
William	M	38910	1970
Brian	M	31938	1970
Mark	M	31500	1970
Richard	M	30463	1970
Jennifer	F	56783	1971
Michelle	F	33158	1971
Lisa	F	32906	1971
Kimberly	F	30698	1971
Amy	F	26238	1971
Angela	F	25890	1971
Melissa	F	23872	1971
Tammy	F	17658	1971
Mary	F	16697	1971
Julie	F	15328	1971
Michael	M	77598	1971
James	M	54617	1971
David	M	53125	1971
John	M	51514	1971
Robert	M	50658	1971
Christopher	M	48246	1971
William	M	35435	1971
Jason	M	34191	1971
Brian	M	32647	1971
Scott	M	30919	1971
Jennifer	F	63609	1972
Michelle	F	29285	1972
Lisa	F	27548	1972
Kimberly	F	26296	1972
Amy	F	25873	1972
Angela	F	23559	1972
Melissa	F	22499	1972
Stephanie	F	16886	1972
Heather	F	16325	1972
Nicole	F	15751	1972
Michael	M	71414	1972
Christopher	M	52190	1972
James	M	47084	1972
David	M	46377	1972
John	M	43182	1972
Robert	M	43033	1972
Jason	M	37448	1972
Brian	M	36325	1972
William	M	30529	1972
Matthew	M	22947	1972
Jennifer	F	62454	1973
Amy	F	26965	1973
Michelle	F	26930	1973
Kimberly	F	23532	1973
Lisa	F	22667	1973
Melissa	F	22480	1973
Angela	F	20893	1973
Heather	F	19349	1973
Stephanie	F	17263	1973
Rebecca	F	14870	1973
Michael	M	67861	1973
Christopher	M	48323	1973
Jason	M	46688	1973
James	M	42888	1973
David	M	41109	1973
John	M	39176	1973
Robert	M	38708	1973
Brian	M	35717	1973
William	M	28023	1973
Matthew	M	24552	1973
Jennifer	F	63117	1974
Amy	F	29567	1974
Michelle	F	25827	1974
Heather	F	23185	1974
Angela	F	22798	1974
Kimberly	F	22420	1974
Melissa	F	22167	1974
Lisa	F	19777	1974
Stephanie	F	16982	1974
Rebecca	F	15167	1974
Michael	M	67585	1974
